,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-07-15 08:34:47.950000,,,,,388.01599999999996,10.5302
2018-07-15 08:34:48.100000,,,,,388.08,10.4712
2018-07-15 08:34:48.200000,,,,,388.115,10.4363
2018-07-15 08:34:48.300000,,,,,388.102,10.4158
2018-07-15 08:34:48.400000,,,,,388.034,10.3951
2018-07-15 08:34:48.500000,,,,,388.244,10.3905
2018-07-15 08:34:48.600000,,,,,388.189,10.3816
2018-07-15 08:34:48.700000,,,,,387.994,10.3682
2018-07-15 08:34:48.800000,,,,,388.075,10.3582
2018-07-15 08:34:48.900000,,,,,387.98199999999997,10.3616
2018-07-15 08:34:49,,,,,387.819,10.3807
2018-07-15 08:34:49.100000,,,,,387.75199999999995,10.3993
2018-07-15 08:34:49.200000,,,,,387.50300000000004,10.4257
2018-07-15 08:34:49.300000,,,,,387.73400000000004,10.4337
2018-07-15 08:34:49.400000,,,,,387.702,10.4225
2018-07-15 08:34:49.500000,,,,,387.80800000000005,10.4095
2018-07-15 08:34:49.600000,,,,,387.675,10.4046
2018-07-15 08:34:49.700000,,,,,387.788,10.4101
2018-07-15 08:34:49.800000,,,,,387.97900000000004,10.4054
2018-07-15 08:34:49.900000,,,,,387.805,10.3883
2018-07-15 08:34:50,,,,,387.754,10.3845
2018-07-15 08:34:50.100000,,,,,387.712,10.3845
2018-07-15 08:34:50.200000,,,,,387.57099999999997,10.3841
2018-07-15 08:34:50.300000,,,,,387.543,10.4008
2018-07-15 08:34:50.400000,,,,,387.626,10.4073
2018-07-15 08:34:50.500000,,,,,387.6,10.4085
2018-07-15 08:34:50.600000,,,,,387.509,10.4435
2018-07-15 08:34:50.700000,,,,,387.471,10.4577
2018-07-15 08:34:50.800000,,,,,387.398,10.4745
2018-07-15 08:34:50.900000,,,,,387.251,10.4766
2018-07-15 08:34:51,,,,,386.964,10.5253
2018-07-15 08:34:51.100000,,,,,387.05699999999996,10.5382
2018-07-15 08:34:51.200000,,,,,387.074,10.5505
2018-07-15 08:34:51.300000,,,,,387.43,10.5104
2018-07-15 08:34:51.400000,,,,,387.406,10.4573
2018-07-15 08:34:51.500000,,,,,387.519,10.4423
2018-07-15 08:34:51.600000,,,,,387.464,10.4306
2018-07-15 08:34:51.700000,,,,,387.56699999999995,10.412
2018-07-15 08:34:51.800000,,,,,387.469,10.409
2018-07-15 08:34:51.900000,,,,,387.325,10.4123
2018-07-15 08:34:52,,,,,387.54400000000004,10.402999999999999
2018-07-15 08:34:52.100000,,,,,386.685,10.4678
2018-07-15 08:34:52.200000,,,,,387.30400000000003,10.4907
2018-07-15 08:34:52.300000,,,,,387.39099999999996,10.4538
2018-07-15 08:34:52.400000,,,,,387.342,10.4279
2018-07-15 08:34:52.500000,,,,,386.994,10.4532
2018-07-15 08:34:52.600000,,,,,387.24699999999996,10.4872
2018-07-15 08:34:52.700000,,,,,387.171,10.4734
2018-07-15 08:34:52.800000,,,,,387.19199999999995,10.4605
2018-07-15 08:34:52.900000,,,,,387.265,10.4554
2018-07-15 08:34:53,,,,,387.228,10.4447
2018-07-15 08:34:53.100000,,,,,387.19699999999995,10.4474
2018-07-15 08:34:53.200000,,,,,387.505,10.4231
2018-07-15 08:34:53.300000,,,,,387.41,10.3908
2018-07-15 08:34:53.400000,,,,,387.381,10.3865
