,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-07-18 13:30:00,-1.58505,1.37642,0.166963,14.9722948021182,376.63300000000004,12.6778
2018-07-18 13:30:00.100000,-2.0371200000000003,1.72944,0.198045,14.870694228778461,376.85,12.6972
2018-07-18 13:30:00.200000,-1.95828,1.42318,0.565863,15.13319901905163,376.145,12.7561
2018-07-18 13:30:00.300000,-1.98738,1.62154,0.422046,15.0315700773412,376.189,12.8199
2018-07-18 13:30:00.400000,-2.17535,1.59809,0.367082,14.692936337892263,375.699,12.8803
2018-07-18 13:30:00.500000,-2.2234,1.4293799999999999,0.375693,14.447551361681803,377.186,12.8326
2018-07-18 13:30:00.600000,-2.15452,1.63224,0.204488,14.430632116977222,377.709,12.7215
2018-07-18 13:30:00.700000,-2.1849,1.59991,0.161564,14.403562360646674,377.788,12.6591
2018-07-18 13:30:00.800000,-1.98953,1.70419,0.107525,14.464471104077177,377.892,12.6081
2018-07-18 13:30:00.900000,-1.9806599999999999,1.7276599999999998,0.281658,14.467855112278983,377.76599999999996,12.5909
2018-07-18 13:30:01,-2.14552,1.8293,0.0756436,14.364651818064203,377.532,12.5874
2018-07-18 13:30:01.100000,-2.11005,1.69023,-0.00965827,14.410329680283553,377.535,12.59
2018-07-18 13:30:01.200000,-1.78783,1.77747,-0.036757599999999994,14.374802140567738,377.651,12.5624
2018-07-18 13:30:01.300000,-1.80972,1.77764,0.0967185,14.386644409937958,377.876,12.5532
2018-07-18 13:30:01.400000,-1.89005,1.6553,0.09005,14.324052319736381,377.908,12.55
2018-07-18 13:30:01.500000,-1.81733,1.58687,0.0436972,14.290221594302352,377.925,12.5328
2018-07-18 13:30:01.600000,-1.8751400000000003,1.41333,0.24741799999999997,14.251318721133941,378.07099999999997,12.5222
2018-07-18 13:30:01.700000,-1.97912,1.43554,0.10940799999999999,14.178594324832773,378.01099999999997,12.4781
2018-07-18 13:30:01.800000,-1.82893,1.38578,0.16605899999999998,14.193814948638362,378.225,12.4552
2018-07-18 13:30:01.900000,-1.8223200000000002,1.3665,0.142879,14.212418480749307,378.353,12.4399
2018-07-18 13:30:02,-1.8298599999999998,1.3217700000000001,0.30389299999999997,14.430632116977222,378.27,12.421
2018-07-18 13:30:02.100000,-2.09448,1.27579,0.270829,14.63369590101928,377.959,12.4463
2018-07-18 13:30:02.200000,-2.37573,1.2136799999999999,0.296505,14.640465928093704,377.89300000000003,12.4587
2018-07-18 13:30:02.300000,-2.41304,1.08026,0.340924,14.77588319198918,378.463,12.4114
2018-07-18 13:30:02.400000,-2.18223,0.9906440000000001,0.529058,14.703092453515694,378.4,12.3793
2018-07-18 13:30:02.500000,-2.25366,1.42211,0.583701,14.637080904602556,378.017,12.3972
2018-07-18 13:30:02.600000,-2.2431400000000004,1.3584399999999999,0.44175699999999996,14.694629011387178,377.98,12.4374
2018-07-18 13:30:02.700000,-2.3869,1.3261399999999999,0.187138,14.742025889871059,377.79,12.4654
2018-07-18 13:30:02.800000,-2.22893,1.13524,0.428025,14.772497372193016,377.773,12.4684
