,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-07-16 15:30:00,-1.5547,4.24068,0.134932,18.09334006211185,378.039,12.2441
2018-07-16 15:30:00.100000,-1.08646,4.08976,0.150255,18.021833582178658,378.309,12.1134
2018-07-16 15:30:00.200000,-1.40711,3.9551,0.14055,17.79715608576214,377.836,12.0606
2018-07-16 15:30:00.300000,-1.7367400000000002,3.77514,-0.012868700000000002,17.948633662306975,378.413,11.9597
2018-07-16 15:30:00.400000,-1.11666,3.7003800000000004,0.0956256,18.169963890050212,378.056,11.9427
2018-07-16 15:30:00.500000,-1.29227,3.4776199999999995,0.269259,18.40159938137043,377.624,12.0277
2018-07-16 15:30:00.600000,-1.19584,4.07616,0.292174,18.670820913461455,377.42400000000004,12.1247
2018-07-16 15:30:00.700000,-1.47999,3.8965199999999998,0.240641,18.043965602106255,377.209,12.2338
2018-07-16 15:30:00.800000,-1.4955100000000001,4.10461,0.0244018,17.4415940660337,377.70099999999996,12.1553
2018-07-16 15:30:00.900000,-1.4554,3.86226,-0.0276013,17.557255457178712,378.63699999999994,11.7649
2018-07-16 15:30:01,-1.32467,3.91339,-0.0374518,17.560657611184183,378.668,11.5951
2018-07-16 15:30:01.100000,-1.45337,3.9590699999999996,-0.079166,17.540244985766094,378.477,11.5166
2018-07-16 15:30:01.200000,-1.39483,4.00634,-0.07830119999999999,17.557255457178712,378.745,11.4861
2018-07-16 15:30:01.300000,-1.5308700000000002,4.00655,-0.138025,17.802261429467194,378.592,11.4971
2018-07-16 15:30:01.400000,-1.63202,4.035,0.0160882,17.88565505056539,378.69,11.5467
2018-07-16 15:30:01.500000,-1.5257,4.06701,0.014635399999999998,17.883953020485023,378.26599999999996,11.648
2018-07-16 15:30:01.600000,-1.19974,3.66675,0.14893299999999998,18.61458083492596,378.44599999999997,11.7824
2018-07-16 15:30:01.700000,-1.30293,3.75146,0.152161,18.68616005733395,378.05400000000003,11.837
2018-07-16 15:30:01.800000,-1.4713399999999999,3.73555,-0.109944,18.227864132923173,377.61300000000006,12.0084
2018-07-16 15:30:01.900000,-0.778983,3.65332,-0.12704100000000002,18.37263991081386,378.18800000000005,11.956
2018-07-16 15:30:02,-0.901891,3.46464,-0.07278860000000001,18.60094769270586,377.724,12.0033
2018-07-16 15:30:02.100000,-1.14214,3.64382,0.584496,18.691273194875805,377.26099999999997,12.2478
2018-07-16 15:30:02.200000,-0.795198,2.87391,0.514951,18.711726192964647,377.10900000000004,12.3802
2018-07-16 15:30:02.300000,-1.11658,3.4329300000000003,0.32833,18.906065418956018,377.088,12.4615
2018-07-16 15:30:02.400000,-1.1564299999999998,3.4906300000000003,0.45098999999999995,19.27617057851569,377.075,12.5246
2018-07-16 15:30:02.500000,-0.606847,3.67067,0.523827,18.861736744007885,376.76800000000003,12.5937
2018-07-16 15:30:02.600000,-0.23447600000000002,3.37414,0.668496,18.88731056896006,376.745,12.715
2018-07-16 15:30:02.700000,-0.721617,3.20939,0.545766,18.38456422449832,376.881,12.6404
2018-07-16 15:30:02.800000,-1.5346600000000001,3.35725,-0.00088527,18.147827082337983,377.13599999999997,12.5463
2018-07-16 15:30:02.900000,-1.7348599999999998,3.7082800000000002,-0.0258,18.064395905498543,377.81,12.2193
2018-07-16 15:30:03,-1.73226,3.8940099999999997,-0.24610700000000002,18.20402215967914,377.917,12.168
2018-07-16 15:30:03.100000,-1.61848,3.5127900000000003,-0.24983400000000003,18.311318721133944,377.835,12.0648
2018-07-16 15:30:03.200000,-1.19423,4.19465,0.0612769,18.250003981525765,377.583,12.1276
2018-07-16 15:30:03.300000,-1.04578,3.8811,0.31063,18.161449633699704,377.486,12.1452
2018-07-16 15:30:03.400000,-1.29081,3.7682,0.239475,18.221052041029736,377.779,12.1821
2018-07-16 15:30:03.500000,-2.1028700000000002,3.5632599999999996,0.18093499999999998,18.25851953187214,377.64099999999996,12.1842
2018-07-16 15:30:03.600000,-1.70242,4.09238,-0.07849260000000001,18.38286073618417,377.478,12.1631
2018-07-16 15:30:03.700000,-1.7965799999999998,3.72278,-0.0507085,18.425449437111922,377.44199999999995,12.2412
2018-07-16 15:30:03.800000,-1.6002399999999999,3.84819,-0.07499,18.37263991081386,377.355,12.2869
2018-07-16 15:30:03.900000,-1.88104,3.42496,0.170657,18.163152475015977,377.44800000000004,12.2973
2018-07-16 15:30:04,-1.6645,4.17631,0.257716,19.19257796076215,377.746,12.2462
2018-07-16 15:30:04.100000,-2.40349,2.93723,0.134425,18.578794515946072,376.913,12.3859
2018-07-16 15:30:04.200000,-1.9492,3.8506,0.29993000000000003,18.63503114548496,377.14,12.4459
2018-07-16 15:30:04.300000,-1.24511,4.242380000000001,-0.0857373,19.03907163013622,377.103,12.4251
2018-07-16 15:30:04.400000,-0.8622040000000001,3.3557,0.143198,18.907770435180794,376.964,12.5352
2018-07-16 15:30:04.500000,-0.8885620000000001,3.1888900000000002,0.128852,19.16187346960112,376.837,12.5837
2018-07-16 15:30:04.600000,-0.975593,3.29685,0.217135,18.938461578276872,377.216,12.5069
2018-07-16 15:30:04.700000,-0.88226,2.78559,0.633568,18.587314869007855,376.783,12.607000000000001
2018-07-16 15:30:04.800000,-1.30375,2.89527,0.18391300000000002,18.54130644061553,377.135,12.5257
2018-07-16 15:30:04.900000,-1.65848,2.52963,0.5665100000000001,19.0493041313307,377.22900000000004,12.5149
2018-07-16 15:30:05,-1.7598900000000002,3.1095900000000003,0.29010199999999997,18.882195714385205,377.251,12.5266
2018-07-16 15:30:05.100000,-1.24482,2.76005,0.478875,19.5099521246417,376.465,12.8298
2018-07-16 15:30:05.200000,-0.864139,2.97395,0.411473,19.470697603121494,376.264,13.0139
2018-07-16 15:30:05.300000,-0.45678,3.60339,0.339147,19.608953478360377,375.68199999999996,13.1926
2018-07-16 15:30:05.400000,-0.547918,3.4018900000000003,0.154629,19.68236184105757,375.73800000000006,13.2801
2018-07-16 15:30:05.500000,-1.1207200000000002,2.86849,-0.018652099999999998,19.368306896002537,375.405,13.3872
2018-07-16 15:30:05.600000,-0.341852,2.7884,0.20363900000000001,19.798468267240082,375.925,13.4445
2018-07-16 15:30:05.700000,-0.20567800000000003,2.81072,0.687175,19.844575731107682,375.86400000000003,13.4981
