,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-07-16 20:00:00,-0.0201281,1.07965,0.013055200000000003,14.461087115782846,381.69,13.1539
2018-07-16 20:00:00.100000,-0.027218799999999998,0.9692200000000001,0.0175023,14.406946010511206,381.847,13.1626
2018-07-16 20:00:00.200000,0.00325817,1.02225,0.0738209,14.445859414815288,381.735,13.1777
2018-07-16 20:00:00.300000,-0.04720030000000001,0.961149,0.03992,14.415405222268646,382.066,13.1773
2018-07-16 20:00:00.400000,0.00396716,0.989809,0.000319567,14.408637842908831,382.07800000000003,13.1907
2018-07-16 20:00:00.500000,0.06599429999999999,1.05985,-0.028063400000000002,14.38156912177493,381.836,13.1888
2018-07-16 20:00:00.600000,0.060149400000000006,1.14254,-0.0512104,14.467855112278983,381.89300000000003,13.1999
2018-07-16 20:00:00.700000,0.049045599999999995,1.14262,-0.0346963,14.454319198917062,381.973,13.2072
2018-07-16 20:00:00.800000,0.030167000000000003,1.10721,-0.0538313,14.46954712384536,381.852,13.2015
2018-07-16 20:00:00.900000,0.0911615,1.07474,-0.019505200000000004,14.362960115066187,381.69,13.225999999999999
2018-07-16 20:00:01,0.113541,1.0710899999999999,-0.0201518,14.38495264224008,381.832,13.2561
2018-07-16 20:00:01.100000,0.123885,1.05475,0.010030599999999999,14.373110407708225,381.76599999999996,13.2806
2018-07-16 20:00:01.200000,-0.00130995,1.10901,0.0146965,14.42386455844877,382.038,13.2958
2018-07-16 20:00:01.300000,0.06870319999999999,1.1404100000000001,-0.021355900000000004,14.49661998576613,381.575,13.2833
2018-07-16 20:00:01.400000,0.09908789999999999,1.07876,-0.057882100000000006,14.401870543179712,381.829,13.3059
2018-07-16 20:00:01.500000,0.172487,1.04534,-0.0471141,14.488159579550938,381.88599999999997,13.3131
2018-07-16 20:00:01.600000,0.15046800000000002,1.13723,-0.101191,14.506772637462177,382.152,13.3329
2018-07-16 20:00:01.700000,0.126925,1.09107,-0.130228,14.445859414815288,381.91900000000004,13.3438
2018-07-16 20:00:01.800000,0.158197,1.05538,-0.171019,14.479699297758486,382.004,13.3574
2018-07-16 20:00:01.900000,0.214158,1.04087,-0.147251,14.439091677118142,381.88699999999994,13.3631
2018-07-16 20:00:02,0.163521,1.04905,-0.123384,14.461087115782846,381.874,13.3698
2018-07-16 20:00:02.100000,0.14183900000000002,1.07029,-0.107991,14.479699297758486,381.806,13.37
2018-07-16 20:00:02.200000,0.138843,1.07275,-0.125218,14.486467513238608,381.515,13.3678
2018-07-16 20:00:02.300000,0.13761500000000002,1.10171,-0.136046,14.449243313525301,381.80699999999996,13.3842
2018-07-16 20:00:02.400000,0.140501,1.08002,-0.11992,14.525386297579189,381.741,13.3771
2018-07-16 20:00:02.500000,0.131376,1.07376,-0.146074,14.530462854853567,381.92400000000004,13.3834
2018-07-16 20:00:02.600000,0.20247,1.1335899999999999,-0.10981300000000001,14.435707838131123,381.644,13.3854
2018-07-16 20:00:02.700000,0.149317,1.15521,-0.127409,14.479699297758486,381.814,13.3875
