,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-07-22 20:30:00,0.8364799999999999,2.0728400000000002,0.401437,11.159394711040704,376.875,13.7264
2018-07-22 20:30:00.100000,0.466368,2.398,0.196993,11.236783447304447,376.67,13.7242
2018-07-22 20:30:00.200000,0.345619,2.48275,0.41170200000000007,11.166123748307825,376.603,13.7331
2018-07-22 20:30:00.300000,0.801208,2.45555,0.464092,11.18799366937418,376.855,13.7458
2018-07-22 20:30:00.400000,0.7432880000000001,2.63559,0.0559235,11.198087762780744,376.834,13.7535
2018-07-22 20:30:00.500000,0.49528900000000003,3.04956,0.3434,11.324279047718676,376.846,13.7531
2018-07-22 20:30:00.600000,0.9134049999999999,3.14993,0.402359,11.201452500398148,376.68,13.7521
2018-07-22 20:30:00.700000,1.09294,3.0321700000000003,-0.263994,11.122386429467326,376.93,13.7584
2018-07-22 20:30:00.800000,0.823263,2.8597200000000003,0.21269000000000002,11.167806020066848,377.095,13.772
2018-07-22 20:30:00.900000,1.0477,2.5956200000000003,0.635418,11.17621745351562,376.74199999999996,13.7736
2018-07-22 20:30:01,0.7635460000000001,3.42665,0.238394,11.193040693681326,376.647,13.7626
2018-07-22 20:30:01.100000,0.58972,3.3909599999999998,0.141173,11.226688667084716,376.824,13.7641
2018-07-22 20:30:01.200000,-0.0197415,3.7278,0.529287,11.25192595357538,376.985,13.7646
2018-07-22 20:30:01.300000,0.288246,4.51794,0.240098,11.098836959010214,377.093,13.7665
2018-07-22 20:30:01.400000,-0.014963599999999999,4.71964,0.377308,11.026512541805971,376.536,13.7614
2018-07-22 20:30:01.500000,-0.161644,4.82001,0.404389,11.13079719103365,376.279,13.7597
2018-07-22 20:30:01.600000,0.49326499999999995,4.5160800000000005,0.07250210000000001,11.011376037685125,376.348,13.7585
2018-07-22 20:30:01.700000,0.576332,4.418,-0.100018,11.097154891304342,376.44599999999997,13.7651
2018-07-22 20:30:01.800000,0.453351,4.5195,0.471326,11.235100971492272,376.181,13.7533
2018-07-22 20:30:01.900000,0.32988,4.14008,0.34211199999999997,11.17621745351562,376.338,13.7634
2018-07-22 20:30:02,0.527834,4.15295,0.119179,11.09042667025011,376.634,13.7661
2018-07-22 20:30:02.100000,0.0754204,4.37493,-0.0150781,11.162759219720556,376.50199999999995,13.7596
2018-07-22 20:30:02.200000,0.12368299999999999,4.0589,0.46616599999999997,11.115657909798585,376.36300000000006,13.7574
2018-07-22 20:30:02.300000,0.19373900000000002,3.98005,0.795983,11.193040693681326,376.408,13.7527
2018-07-22 20:30:02.400000,0.0893824,4.10435,0.228976,11.156030222268726,376.414,13.7553
2018-07-22 20:30:02.500000,0.584788,4.3929,0.00996727,11.216594066033622,376.389,13.7558
2018-07-22 20:30:02.600000,0.7841279999999999,3.9883800000000003,-0.00894392,11.193040693681326,376.495,13.7482
2018-07-22 20:30:02.700000,0.742734,3.7425699999999997,-0.05704780000000001,11.225006221133981,376.798,13.754000000000001
2018-07-22 20:30:02.800000,0.350172,3.8097,-0.100857,11.12575071916308,376.981,13.7579
2018-07-22 20:30:02.900000,0.39481900000000003,4.18382,-0.332719,11.095472828575453,376.9,13.7559
2018-07-22 20:30:03,0.44442600000000004,4.44187,-0.5216569999999999,11.03660376851417,376.18199999999996,13.7412
2018-07-22 20:30:03.100000,0.45996400000000004,4.61506,-0.41175,11.05846870769625,376.222,13.7474
2018-07-22 20:30:03.200000,0.476761,4.3662,-0.598646,11.041649449056365,376.38199999999995,13.7556
2018-07-22 20:30:03.300000,0.181206,4.56241,-0.361586,11.050059016164994,376.26599999999996,13.7473
2018-07-22 20:30:03.400000,0.156352,4.51167,-0.605689,11.053422877846856,376.01800000000003,13.7443
2018-07-22 20:30:03.500000,0.386613,4.70785,-0.6088180000000001,11.063514582337973,376.07800000000003,13.7416
2018-07-22 20:30:03.600000,0.624229,4.57913,-0.69882,11.061832619147197,376.29,13.7382
2018-07-22 20:30:03.700000,0.630429,4.56323,-0.47731599999999996,11.070242484870278,376.45099999999996,13.7399
2018-07-22 20:30:03.800000,0.530587,4.66111,-0.328714,11.08201650591252,376.495,13.7362
2018-07-22 20:30:03.900000,0.968699,4.34285,-0.296761,11.120704292084838,376.483,13.734000000000002
2018-07-22 20:30:04,0.638206,4.282109999999999,-0.157904,11.075288464026983,376.39300000000003,13.7238
2018-07-22 20:30:04.100000,0.550094,4.44419,-0.429439,11.113975792323686,376.60900000000004,13.7394
2018-07-22 20:30:04.200000,0.503637,4.00535,-0.5146390000000001,11.04669517439089,376.289,13.7353
2018-07-22 20:30:04.300000,0.6814680000000001,4.39222,-0.178954,11.066878523650246,376.075,13.734000000000002
2018-07-22 20:30:04.400000,0.770994,4.300619999999999,0.28875700000000004,11.034921884953746,376.255,13.7295
2018-07-22 20:30:04.500000,0.438453,4.616230000000001,0.153396,11.097154891304342,376.44599999999997,13.7333
2018-07-22 20:30:04.600000,0.635718,4.25988,0.00366393,11.203134876672209,376.48199999999997,13.7286
2018-07-22 20:30:04.700000,0.46051000000000003,4.11998,0.338237,11.150983526437301,376.473,13.7365
2018-07-22 20:30:04.800000,0.260745,4.50416,0.0273394,11.134161530498488,376.584,13.7354
2018-07-22 20:30:04.900000,0.531022,4.29713,-0.154212,11.112293679825598,376.461,13.7375
2018-07-22 20:30:05,0.643018,4.31971,-0.53604,11.113975792323686,376.285,13.7329
2018-07-22 20:30:05.100000,0.587701,4.26484,-0.49984300000000004,11.103883191989212,376.2,13.7333
2018-07-22 20:30:05.200000,0.387475,3.8168900000000003,-0.46161899999999995,11.134161530498488,375.97900000000004,13.7365
2018-07-22 20:30:05.300000,0.49396999999999996,4.2323,-0.49841899999999995,11.065196550505618,376.135,13.7325
2018-07-22 20:30:05.400000,0.493098,4.32568,-0.38350500000000004,10.994558172579218,376.254,13.7271
2018-07-22 20:30:05.500000,0.761469,4.51532,-0.13136,11.087062589584377,376.32599999999996,13.7169
2018-07-22 20:30:05.600000,0.873891,4.3879,-0.17316099999999998,10.99287641344165,376.26300000000003,13.7158
2018-07-22 20:30:05.700000,0.7856390000000001,4.47129,0.042291300000000004,11.120704292084838,376.411,13.7186
2018-07-22 20:30:05.800000,0.705731,4.3512699999999995,-0.414663,11.073606465997727,376.36699999999996,13.7139
2018-07-22 20:30:05.900000,0.757074,4.2097,-0.440622,11.150983526437301,376.392,13.7161
2018-07-22 20:30:06,0.624167,4.09317,-0.460838,11.048377092789451,376.46,13.7155
2018-07-22 20:30:06.100000,0.753421,4.17954,-0.46898500000000004,11.10220110935262,376.212,13.7105
2018-07-22 20:30:06.200000,0.886442,4.1502,-0.488183,11.09210871804828,376.005,13.7056
2018-07-22 20:30:06.300000,0.778783,4.1348,-0.536053,11.08201650591252,376.222,13.7066
2018-07-22 20:30:06.400000,0.71524,4.0273,-0.5445979999999999,11.026512541805971,376.38300000000004,13.6991
2018-07-22 20:30:06.500000,0.793473,3.91424,-0.544664,11.112293679825598,376.535,13.7068
2018-07-22 20:30:06.600000,0.776113,3.6626800000000004,-0.604399,11.078652475015986,376.157,13.6933
2018-07-22 20:30:06.700000,0.8611639999999999,4.01656,-0.224388,11.105565279602729,376.38300000000004,13.7023
2018-07-22 20:30:06.800000,0.478108,4.0204699999999995,-0.15149400000000002,11.164441481525728,376.282,13.6965
2018-07-22 20:30:06.900000,0.399564,3.75354,-0.050836599999999996,11.03660376851417,376.77099999999996,13.707
2018-07-22 20:30:07,0.452358,3.70371,0.170123,11.073606465997727,376.5,13.6975
2018-07-22 20:30:07.100000,0.450329,3.6662800000000004,-0.199095,11.075288464026983,376.55,13.7031
2018-07-22 20:30:07.200000,0.41923699999999997,3.4602199999999996,-0.359847,11.17958206173364,376.485,13.7059
