,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-07-15 08:57:00,,,,,379.829,10.2877
2018-07-15 08:57:00.100000,,,,,379.61199999999997,10.314
2018-07-15 08:57:00.200000,,,,,379.657,10.3275
2018-07-15 08:57:00.300000,,,,,379.463,10.3333
2018-07-15 08:57:00.400000,,,,,379.62,10.3299
2018-07-15 08:57:00.500000,,,,,379.811,10.3529
2018-07-15 08:57:00.600000,,,,,379.834,10.3282
2018-07-15 08:57:00.700000,,,,,379.94699999999995,10.2811
2018-07-15 08:57:00.800000,,,,,380.25,10.222999999999999
2018-07-15 08:57:00.900000,,,,,380.599,10.1627
2018-07-15 08:57:01,,,,,380.649,10.1122
2018-07-15 08:57:01.100000,,,,,380.695,10.0902
2018-07-15 08:57:01.200000,,,,,380.21,10.1554
2018-07-15 08:57:01.300000,,,,,380.369,10.1473
2018-07-15 08:57:01.400000,,,,,380.404,10.1197
2018-07-15 08:57:01.500000,,,,,380.664,10.1319
2018-07-15 08:57:01.600000,,,,,380.524,10.0876
2018-07-15 08:57:01.700000,,,,,380.668,10.0671
2018-07-15 08:57:01.800000,,,,,380.86,10.0252
2018-07-15 08:57:01.900000,,,,,380.47,10.0201
2018-07-15 08:57:02,,,,,380.88,10.0031
2018-07-15 08:57:02.100000,,,,,380.824,9.999239999999999
2018-07-15 08:57:02.200000,,,,,380.58099999999996,10.0231
2018-07-15 08:57:02.300000,,,,,380.67900000000003,10.027000000000001
2018-07-15 08:57:02.400000,,,,,380.719,10.0094
2018-07-15 08:57:02.500000,,,,,380.72,9.9984
2018-07-15 08:57:02.600000,,,,,380.63300000000004,9.99469
2018-07-15 08:57:02.700000,,,,,380.85,9.96836
2018-07-15 08:57:02.800000,,,,,380.976,9.91053
2018-07-15 08:57:02.900000,,,,,381.041,9.894960000000001
2018-07-15 08:57:03,,,,,380.825,9.90728
2018-07-15 08:57:03.100000,,,,,380.838,9.93365
2018-07-15 08:57:03.200000,,,,,379.819,10.0922
2018-07-15 08:57:03.300000,,,,,379.774,10.1539
2018-07-15 08:57:03.400000,,,,,380.103,10.1715
2018-07-15 08:57:03.500000,,,,,379.93300000000005,10.1701
2018-07-15 08:57:03.600000,,,,,379.82,10.1868
2018-07-15 08:57:03.700000,,,,,380.108,10.1738
2018-07-15 08:57:03.800000,,,,,380.478,10.1598
2018-07-15 08:57:03.900000,,,,,380.264,10.1115
2018-07-15 08:57:04,,,,,380.23199999999997,10.1653
2018-07-15 08:57:04.100000,,,,,380.77,10.1099
2018-07-15 08:57:04.200000,,,,,380.54699999999997,10.086
2018-07-15 08:57:04.300000,,,,,380.586,10.0306
2018-07-15 08:57:04.400000,,,,,380.894,9.96672
2018-07-15 08:57:04.500000,,,,,380.491,9.99779
2018-07-15 08:57:04.600000,,,,,380.01300000000003,10.0525
2018-07-15 08:57:04.700000,,,,,380.926,10.017000000000001
2018-07-15 08:57:04.800000,,,,,379.32099999999997,10.1584
2018-07-15 08:57:04.900000,,,,,378.472,10.4367
2018-07-15 08:57:05,,,,,379.088,10.4608
2018-07-15 08:57:05.100000,,,,,378.92,10.5171
2018-07-15 08:57:05.200000,,,,,377.548,10.7405
2018-07-15 08:57:05.300000,,,,,376.905,10.9784
2018-07-15 08:57:05.400000,,,,,376.673,11.0873
2018-07-15 08:57:05.500000,,,,,376.996,11.0941
2018-07-15 08:57:05.600000,,,,,378.031,10.9793
2018-07-15 08:57:05.700000,,,,,379.04400000000004,10.7778
2018-07-15 08:57:05.800000,,,,,380.856,10.3982
2018-07-15 08:57:05.900000,,,,,379.381,10.4363
2018-07-15 08:57:06,,,,,378.468,10.6143
2018-07-15 08:57:06.100000,,,,,377.788,10.7475
2018-07-15 08:57:06.200000,,,,,377.00800000000004,10.9179
2018-07-15 08:57:06.300000,,,,,376.691,11.0765
2018-07-15 08:57:06.400000,,,,,376.533,11.202
2018-07-15 08:57:06.500000,,,,,377.23699999999997,11.2114
2018-07-15 08:57:06.600000,,,,,377.24800000000005,11.1775
2018-07-15 08:57:06.700000,,,,,378.43300000000005,10.9661
2018-07-15 08:57:06.800000,,,,,378.806,10.8593
2018-07-15 08:57:06.900000,,,,,378.71,10.8071
2018-07-15 08:57:07,,,,,378.595,10.7896
2018-07-15 08:57:07.100000,,,,,378.57800000000003,10.7733
2018-07-15 08:57:07.200000,,,,,378.816,10.7641
2018-07-15 08:57:07.300000,,,,,379.31699999999995,10.6362
2018-07-15 08:57:07.400000,,,,,379.525,10.5016
2018-07-15 08:57:07.500000,,,,,379.533,10.5408
2018-07-15 08:57:07.600000,,,,,378.421,10.6709
2018-07-15 08:57:07.700000,,,,,378.077,10.767999999999999
2018-07-15 08:57:07.800000,,,,,377.469,10.8428
