,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-07-21 18:30:00,-0.587485,6.36506,-0.113329,11.841113871635628,373.28,12.1128
2018-07-21 18:30:00.100000,0.000671617,5.93545,0.34435,12.164584487975787,373.10699999999997,12.1554
2018-07-21 18:30:00.200000,-0.44187,6.05865,-0.0179541,12.107289865026303,373.311,12.169
2018-07-21 18:30:00.300000,0.113258,5.91796,-0.277855,11.672712255136162,372.881,12.2082
2018-07-21 18:30:00.400000,0.013274200000000002,5.5841400000000005,-0.0575182,11.812482085622719,373.135,12.2427
2018-07-21 18:30:00.500000,-0.8087840000000001,5.59143,0.126833,11.982609691033645,373.42699999999996,12.2347
2018-07-21 18:30:00.600000,-0.43213100000000004,5.93316,0.310145,12.176381153945783,373.351,12.2336
2018-07-21 18:30:00.700000,-0.9998100000000001,6.15716,0.199337,11.825955688107172,372.911,12.2382
2018-07-21 18:30:00.800000,-1.1892200000000002,6.30011,0.396088,11.84616668906284,373.036,12.2925
2018-07-21 18:30:00.900000,-0.45572399999999996,5.6487,0.00862985,11.903435083711656,373.355,12.2795
2018-07-21 18:30:01,-1.0405,5.874709999999999,-0.10567599999999999,11.809113734770676,373.42800000000005,12.2666
2018-07-21 18:30:01.100000,-1.32112,5.89224,0.0549418,11.74006692944738,373.634,12.2412
2018-07-21 18:30:01.200000,-0.795426,5.72311,0.50495,11.743434872193006,373.48,12.2179
2018-07-21 18:30:01.300000,-0.9939180000000001,6.02632,0.19052,11.58179607620633,373.69300000000004,12.2045
2018-07-21 18:30:01.400000,-1.05665,6.22634,0.147601,11.770379130832964,373.694,12.1762
2018-07-21 18:30:01.500000,-0.526944,6.32745,-0.09369069999999999,11.851219551282043,373.83099999999996,12.1802
2018-07-21 18:30:01.600000,-0.443158,5.9873400000000006,0.015299100000000001,11.795640530438789,373.39,12.1686
2018-07-21 18:30:01.700000,-0.480296,5.774430000000001,-0.329971,11.83100837115785,373.11300000000006,12.1795
2018-07-21 18:30:01.800000,-0.190444,5.69675,-0.499334,11.817534649227582,373.44599999999997,12.1953
2018-07-21 18:30:01.900000,-0.33334600000000003,5.34393,-0.266934,11.787219939480849,373.699,12.1877
2018-07-21 18:30:02,-0.20524299999999998,5.46356,0.0709934,11.665977225672862,373.756,12.1629
2018-07-21 18:30:02.100000,-0.403017,5.99983,-0.258721,11.500993878404245,373.47900000000004,12.1566
2018-07-21 18:30:02.200000,-0.393814,5.991569999999999,-0.150774,11.57842908902694,373.63199999999995,12.1567
2018-07-21 18:30:02.300000,-0.32898499999999997,5.92023,-0.0647154,11.74006692944738,374.26,12.1305
2018-07-21 18:30:02.400000,-0.480138,5.71245,0.22361799999999998,11.825955688107172,373.709,12.0949
2018-07-21 18:30:02.500000,-0.641131,6.19434,0.00282506,11.745118851031293,373.657,12.1058
2018-07-21 18:30:02.600000,-0.8384950000000001,6.32904,-0.46730200000000005,11.750170817407195,373.84,12.1132
2018-07-21 18:30:02.700000,-0.276332,5.96167,-0.36145900000000003,11.746802834846392,373.522,12.1102
2018-07-21 18:30:02.800000,-0.445884,6.11585,0.155722,11.71817578684903,373.587,12.1298
2018-07-21 18:30:02.900000,-0.149581,5.73872,-0.143463,11.770379130832964,373.413,12.1407
2018-07-21 18:30:03,-0.33665300000000004,6.11696,-0.223225,11.905119535355993,373.37300000000005,12.1533
2018-07-21 18:30:03.100000,-0.23775300000000002,6.00521,-0.227904,11.952286202022606,373.474,12.1704
2018-07-21 18:30:03.200000,-0.34434899999999996,5.919630000000001,-0.526146,11.62556872113396,373.49,12.1866
2018-07-21 18:30:03.300000,-0.375814,5.5706,-0.43249499999999996,11.68449874830793,373.726,12.1796
2018-07-21 18:30:03.400000,-0.46064499999999997,5.21842,-0.307842,11.682814948638281,373.55699999999996,12.1592
2018-07-21 18:30:03.500000,-0.24471199999999999,5.23569,-0.279918,11.6592422758402,373.63300000000004,12.1523
2018-07-21 18:30:03.600000,-0.0331689,5.7914,0.0563922,11.780483556298748,373.75300000000004,12.1426
2018-07-21 18:30:03.700000,-0.39592,4.51995,-0.631065,11.73333110367895,373.755,12.1187
2018-07-21 18:30:03.800000,-0.734654,4.91965,0.189174,11.731647159679085,373.465,12.1153
2018-07-21 18:30:03.900000,-0.879402,5.98612,-0.356079,11.760274884535875,373.45300000000003,12.116
