,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-07-16 14:30:00,0.9210790000000001,3.7396,0.152321,18.531082838131113,376.767,12.7538
2018-07-16 14:30:00.100000,0.635353,4.65331,0.38101999999999997,18.90947545638238,376.39599999999996,12.7994
2018-07-16 14:30:00.200000,1.35071,4.44126,0.38112199999999996,18.832754429447334,376.51599999999996,12.8475
2018-07-16 14:30:00.300000,1.00411,4.5037,0.161672,18.7747941153051,376.223,12.9687
2018-07-16 14:30:00.400000,1.07485,4.58677,0.204146,18.863441630832995,376.091,13.0327
2018-07-16 14:30:00.500000,1.05501,4.60811,-0.117948,18.798659430243674,376.13199999999995,13.0726
2018-07-16 14:30:00.600000,1.05277,4.42963,-0.059271199999999996,18.684455688107164,376.26300000000003,13.0958
2018-07-16 14:30:00.700000,0.7782180000000001,4.72222,0.270302,18.71513509565625,376.103,13.0664
2018-07-16 14:30:00.800000,0.971391,4.4934199999999995,0.17877,18.858326985288215,376.47900000000004,13.0201
2018-07-16 14:30:00.900000,0.6118020000000001,4.6432400000000005,0.23091799999999998,18.858326985288215,376.58099999999996,13.0311
2018-07-16 14:30:01,0.8124020000000001,4.28236,0.34893,18.721952960761996,376.214,13.094000000000001
2018-07-16 14:30:01.100000,1.3065799999999999,4.19269,0.239125,19.12605360129004,376.211,13.0898
2018-07-16 14:30:01.200000,1.10331,4.25507,0.292583,18.999848702022632,376.416,13.0683
2018-07-16 14:30:01.300000,1.3764399999999999,4.48044,-0.211484,19.32223692317649,376.335,13.2275
2018-07-16 14:30:01.400000,1.44252,3.95568,0.39292699999999997,19.156756211180095,375.82199999999995,13.3089
2018-07-16 14:30:01.500000,0.324361,4.16345,0.12137200000000001,19.209636708174173,375.714,13.4051
2018-07-16 14:30:01.600000,0.655772,3.94542,0.350956,19.19940140000392,375.952,13.4515
2018-07-16 14:30:01.700000,1.42939,4.59727,0.428928,18.907770435180794,376.056,13.4272
2018-07-16 14:30:01.800000,1.4539600000000001,4.6135,0.27871799999999997,18.759452642240092,375.847,13.4614
2018-07-16 14:30:01.900000,1.0271700000000001,4.27715,-0.155041,18.795250039815244,375.69199999999995,13.4169
2018-07-16 14:30:02,1.29061,4.70061,-0.577976,17.79885786202027,375.89300000000003,13.319
2018-07-16 14:30:02.100000,1.33535,4.8396,-0.5681109999999999,17.87033695901016,377.166,12.9642
2018-07-16 14:30:02.200000,1.49381,5.04049,-0.397266,17.843105791626897,378.10699999999997,12.3279
2018-07-16 14:30:02.300000,1.08047,5.1226199999999995,-0.381833,17.87544294473645,377.033,12.4811
